YYYY//MM//DD,Day of year,Time Sunrise (HH::MM:SS),Time Sunset (HH::MM:SS),Time Solar Noon (HH::MM:SS),Daily Total Energy ETR (kW h/m^2),Daily Total Energy ETRn (kW h/m^2),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Daily Total Energy (kWh/m^2),Daily Total Uncertainty (U95%),Minimum daily value,Maximum daily value,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Average Nighttime Value,Standard Deviation Nighttime,Assorted Daily Values (Rows 12 - 42)
2014//7//4,185,04::30:59,19::46:09,12::08:42,11.494,20.015,7.9670000000000005,2.525,3.052,4.638,6.0840000000000005,2.525,8.137,2.525,1.883,2.525,8.27,32.37,-0.0018000000000000002,0.0053,0.0018000000000000002,0.0044,0.,0.,-0.0041,0.0241,-
2014//7//5,186,04::31:37,19::45:51,12::08:53,11.478,19.993000000000002,8.765,2.541,2.853,4.638,7.9030000000000005,2.539,12.200000000000001,2.56,0.862,2.525,7.37,33.68,-0.0016,0.0048000000000000004,0.0017000000000000001,0.0046,0.,0.,-0.0016,0.0048000000000000004,-
2014//7//6,187,04::32:16,19::45:30,12::09:03,11.461,19.971,8.829,2.525,2.91,4.638,7.969,2.525,12.385,2.525,0.86,2.524,8.07,34.550000000000004,-0.0007,0.0028,0.0011,0.0035,0.,0.,-0.002,0.017,-
2014//7//7,188,04::32:56,19::45:09,12::09:12,11.442,19.95,8.852,2.525,2.938,4.638,8.012,2.525,12.421,2.525,0.84,2.525,7.69,35.38,-0.0022,0.0058000000000000005,0.0022,0.0054,0.,0.,-0.0044,0.024,-
2014//7//8,189,04::33:38,19::44:44,12::09:22,11.423,19.929000000000002,5.758,2.525,2.355,4.639,2.971,2.525,4.8260000000000005,2.525,2.786,2.525,10.23,34.550000000000004,-0.0001,0.0011,0.0001,0.0011,0.,0.,-0.0001,0.0011,-
2014//7//9,190,04::34:21,19::44:17,12::09:30,11.403,19.908,6.588,2.525,2.6630000000000003,4.638,4.4350000000000005,2.525,6.1240000000000006,2.525,2.153,2.525,15.790000000000001,34.160000000000004,0.,0.,0.,0.,0.,0.,0.,0.,-
2014//7//10,191,04::35:05,19::43:49,12::09:39,11.381,19.887,5.289,2.525,2.178,4.639,3.6430000000000002,2.525,5.71,2.525,1.6460000000000001,2.525,11.83,33.42,-0.0002,0.0017000000000000001,0.0004,0.0021000000000000003,0.,0.,-0.0002,0.0017000000000000001,-
2014//7//11,192,04::35:51,19::43:18,12::09:47,11.359,19.844,3.9090000000000003,2.525,1.5050000000000001,4.639,0.9430000000000001,2.524,2.68,2.525,2.967,2.525,12.32,26.580000000000002,-0.0006000000000000001,0.0026000000000000003,0.0016,0.0043,0.,0.,-0.0006000000000000001,0.0026000000000000003,-
2014//7//12,193,04::36:39,19::42:45,12::09:55,11.335,19.824,7.853,2.525,3.123,4.639,6.398000000000001,2.5260000000000002,9.332,2.528,1.456,2.5260000000000002,9.21,33.03,-0.0001,0.0009000000000000001,0.00030000000000000003,0.0016,0.,0.,-0.0001,0.0009000000000000001,-
2014//7//13,194,04::37:28,19::42:10,12::10:02,11.311,19.803,6.808,2.525,2.731,4.638,4.252,2.525,6.432,2.525,2.556,2.525,12.15,37.4,-0.0001,0.001,0.0002,0.0015,0.,0.,-0.0013000000000000002,0.0164,-
2014//7//14,195,04::38:17,19::41:32,12::10:08,11.285,19.783,8.339,2.5300000000000002,3.149,4.638,6.997,2.5300000000000002,10.696,2.5340000000000003,1.342,2.524,9.57,33.26,0.,0.,0.,0.0006000000000000001,0.,0.,0.,0.,-
2014//7//15,196,04::39:07,19::40:53,12::10:14,11.259,19.741,8.525,2.525,3.313,4.638,7.143,2.525,10.615,2.525,1.381,2.5260000000000002,10.32,34.13,-0.0004,0.0019,0.0004,0.0021000000000000003,0.,0.,-0.0015,0.0162,-
2014//7//16,197,04::39:58,19::40:12,12::10:20,11.232000000000001,19.7,8.003,2.525,3.344,4.639,5.932,2.525,8.298,2.525,2.072,2.525,10.58,34.910000000000004,-0.0001,0.0008,0.0001,0.0008,0.,0.,-0.0001,0.0008,-
2014//7//17,198,04::40:51,19::39:28,12::10:25,11.203,19.658,8.656,2.525,3.134,4.638,7.797000000000001,2.535,12.054,2.532,0.859,2.531,10.85,34.2,-0.0001,0.0012000000000000001,0.0004,0.0019,0.,0.,-0.0001,0.0012000000000000001,-
2014//7//18,199,04::41:45,19::38:43,12::10:30,11.174,19.639,8.672,2.525,3.279,4.638,7.46,2.525,11.586,2.525,1.212,2.524,3.84,32.79,-0.0071,0.013300000000000001,0.0092,0.0135,0.,0.,-0.016300000000000002,0.0471,-
2014//7//19,200,04::42:40,19::37:56,12::10:34,11.144,19.597,8.379,2.529,3.156,4.64,7.288,2.529,11.205,2.531,1.091,2.524,7.4,32.04,-0.0027,0.0055000000000000005,0.0043,0.0074,0.,0.,-0.0048000000000000004,0.0227,-
2014//7//20,201,04::43:35,19::37:07,12::10:37,11.112,19.556,8.654,2.525,3.1950000000000003,4.639,7.87,2.525,12.24,2.525,0.784,2.525,8.76,32.74,-0.00030000000000000003,0.0018000000000000002,0.0007,0.0027,0.,0.,-0.00030000000000000003,0.0018000000000000002,-
2014//7//21,202,04::44:32,19::36:15,12::10:40,11.08,19.516000000000002,5.2090000000000005,2.525,2.225,4.639,1.945,2.525,3.146,2.525,3.2640000000000002,2.525,12.06,28.91,0.,0.0006000000000000001,0.0001,0.0012000000000000001,0.,0.,0.,0.0006000000000000001,-
2014//7//22,203,04::45:29,19::35:22,12::10:42,11.047,19.497,7.229,2.525,3.083,4.638,5.227,2.525,7.033,2.525,2.0020000000000002,2.525,11.77,28.88,-0.0002,0.0015,0.0002,0.0014,0.,0.,-0.0002,0.0015,-
2014//7//23,204,04::46:27,19::34:26,12::10:44,11.013,19.456,6.111,2.525,2.589,4.639,3.645,2.525,5.737,2.525,2.467,2.525,5.99,22.29,-0.0077,0.0162,0.0082,0.014,0.,0.,-0.0164,0.0468,-
2014//7//24,205,04::47:25,19::33:29,12::10:45,10.978,19.438,8.716,2.525,3.248,4.638,7.926,2.525,12.581,2.5260000000000002,0.79,2.525,1.1500000000000001,22.64,-0.0613,0.060700000000000004,0.0516,0.046700000000000005,0.,0.,-0.0926,0.1,-
2014//7//25,206,04::48:24,19::32:30,12::10:46,10.942,19.398,8.652000000000001,2.525,3.291,4.638,7.889,2.525,12.512,2.525,0.763,2.527,1.81,28.19,-0.0432,0.047400000000000005,0.040400000000000005,0.039,0.,0.,-0.0796,0.1044,-
2014//7//26,207,04::49:24,19::31:30,12::10:46,10.906,19.358,8.459,2.525,3.291,4.638,7.664000000000001,2.525,12.177,2.525,0.795,2.525,4.57,32.11,-0.0102,0.0161,0.0122,0.014100000000000001,0.,0.,-0.0151,0.038200000000000005,-
2014//7//27,208,04::50:24,19::30:28,12::10:45,10.868,19.318,5.472,2.525,2.482,4.638,1.496,2.525,2.983,2.525,3.976,2.525,6.9,31.810000000000002,-0.009600000000000001,0.0155,0.0112,0.0145,0.,0.,-0.0151,0.0397,-
2014//7//28,209,04::51:25,19::29:24,12::10:44,10.829,19.256,7.721,2.525,3.261,4.638,5.675,2.525,9.219,2.525,2.047,2.525,8.46,35.33,-0.0044,0.0085,0.0067,0.009600000000000001,0.,0.,-0.009000000000000001,0.0337,-
2014//7//29,210,04::52:27,19::28:19,12::10:42,10.790000000000001,19.217,6.34,2.525,2.813,4.6370000000000005,4.308,2.525,6.605,2.525,2.032,2.525,9.6,33.480000000000004,-0.0006000000000000001,0.0027,0.0011,0.0034000000000000002,0.,0.,-0.0036000000000000003,0.025900000000000003,-
2014//7//30,211,04::53:29,19::27:12,12::10:39,10.75,19.177,6.455,2.525,3.011,4.6370000000000005,4.51,2.525,6.829,2.525,1.945,2.525,9.21,34.09,-0.0005,0.0024000000000000002,0.0007,0.0027,0.,0.,-0.0005,0.0024000000000000002,-
2014//7//31,212,04::54:31,19::26:03,12::10:36,10.708,19.137,6.5760000000000005,2.525,3.145,4.638,4.71,2.525,6.82,2.525,1.865,2.5260000000000002,12.6,33.92,0.,0.0006000000000000001,0.,0.0006000000000000001,0.,0.,0.,0.0006000000000000001,-
2014//8//1,213,04::55:34,19::24:52,12::10:33,10.666,19.077,6.517,2.5260000000000002,3.375,4.639,4.246,2.525,5.464,2.525,2.271,2.5300000000000002,10.290000000000001,32.84,-0.0017000000000000001,0.0055000000000000005,0.0018000000000000002,0.0051,0.,0.,-0.0032,0.020800000000000003,-
2014//8//2,214,04::56:36,19::23:39,12::10:28,10.624,19.038,5.12,2.525,2.592,4.639,2.0220000000000002,2.525,2.906,2.525,3.098,2.527,9.81,31.080000000000002,-0.0009000000000000001,0.0031000000000000003,0.0012000000000000001,0.0037,0.,0.,-0.0009000000000000001,0.0031000000000000003,-
2014//8//3,215,04::57:40,19::22:25,12::10:24,10.58,18.977,7.0840000000000005,2.525,3.709,4.638,4.416,2.525,6.059,2.525,2.6670000000000003,2.529,9.31,33.160000000000004,-0.0027,0.0067,0.004,0.007500000000000001,0.,0.,-0.0037,0.0159,-
2014//8//4,216,04::58:43,19::21:11,12::10:18,10.535,18.938,5.706,2.528,3.115,4.641,3.283,2.525,4.1850000000000005,2.525,2.423,2.539,12.780000000000001,32.71,-0.0001,0.0012000000000000001,0.0002,0.0014,0.,0.,-0.0001,0.0012000000000000001,-
2014//8//5,217,04::59:47,19::19:55,12::10:12,10.49,18.900000000000002,5.8260000000000005,2.525,3.189,4.639,3.427,2.525,4.384,2.525,2.399,2.528,12.620000000000001,30.96,-0.0007,0.0027,0.0014,0.0038,0.,0.,-0.0017000000000000001,0.0146,-
2014//8//6,218,05::00:51,19::18:36,12::10:05,10.444,18.861,7.603,2.525,3.75,4.638,5.84,2.525,9.014,2.525,1.7630000000000001,2.5300000000000002,7.03,30.32,-0.0059,0.0097,0.0056,0.008,0.,0.,-0.0128,0.0402,-
2014//8//7,219,05::01:56,19::17:17,12::09:58,10.397,18.801000000000002,7.801,2.525,3.705,4.639,6.9190000000000005,2.525,10.674,2.525,0.882,2.537,8.05,31.17,-0.0207,0.028300000000000002,0.0145,0.0177,0.,0.,-0.0379,0.0702,-
2014//8//8,220,05::03:01,19::15:56,12::09:50,10.349,18.763,7.658,2.525,3.8770000000000002,4.638,6.009,2.525,9.297,2.525,1.6480000000000001,2.5300000000000002,7.92,30.63,-0.011000000000000001,0.014400000000000001,0.0103,0.0126,0.,0.,-0.020300000000000002,0.0477,-
2014//8//9,221,05::04:06,19::14:33,12::09:42,10.301,18.725,7.183,2.525,3.807,4.639,5.327,2.525,7.708,2.525,1.856,2.528,8.9,31.77,-0.0252,0.031100000000000003,0.0177,0.0193,0.,0.,-0.0497,0.0828,-
2014//8//10,222,05::05:11,19::13:11,12::09:33,10.251,18.665,6.2860000000000005,2.525,3.512,4.639,4.39,2.525,6.179,2.525,1.895,2.531,8.1,34.54,-0.009600000000000001,0.0146,0.01,0.0118,0.,0.,-0.0158,0.040100000000000004,-
2014//8//11,223,05::06:16,19::11:46,12::09:23,10.201,18.627,5.816,2.5260000000000002,3.138,4.64,3.6590000000000003,2.525,5.037,2.525,2.157,2.536,9.74,32.81,-0.035,0.0488,0.029,0.0351,0.,0.,-0.0585,0.0937,-
2014//8//12,224,05::07:22,19::10:20,12::09:13,10.151,18.567,4.314,2.5260000000000002,2.082,4.64,0.9470000000000001,2.525,1.819,2.5260000000000002,3.367,2.528,8.78,25.68,-0.044700000000000004,0.043300000000000005,0.033600000000000005,0.028800000000000003,0.,0.,-0.07060000000000001,0.0883,-
2014//8//13,225,05::08:28,19::08:53,12::09:02,10.099,18.529,4.855,2.5260000000000002,2.748,4.639,2.169,2.525,2.944,2.525,2.6870000000000003,2.529,6.15,24.68,-0.1169,0.05,0.0814,0.0339,0.,0.,-0.1753,0.0989,-
2014//8//14,226,05::09:33,19::07:24,12::08:51,10.047,18.468,3.311,2.5260000000000002,1.508,4.638,0.193,2.52,0.6980000000000001,2.524,3.118,2.529,5.48,20.400000000000002,-0.1134,0.0721,0.08070000000000001,0.0422,0.,0.,-0.1767,0.11620000000000001,-
2014//8//15,227,05::10:38,19::05:55,12::08:39,9.994,18.41,7.353,2.525,4.07,4.638,5.9750000000000005,2.5340000000000003,9.333,2.532,1.375,2.539,4.13,28.,-0.0699,0.0668,0.060500000000000005,0.052000000000000005,0.,0.,-0.10700000000000001,0.115,-
2014//8//16,228,05::11:44,19::04:24,12::08:27,9.94,18.351,7.37,2.527,4.168,4.639,5.699,2.5260000000000002,9.358,2.531,1.671,2.5300000000000002,5.3,30.61,-0.0298,0.040100000000000004,0.028300000000000002,0.034,0.,0.,-0.0472,0.079,-
2014//8//17,229,05::12:49,19::02:53,12::08:14,9.886000000000001,18.314,5.495,2.5260000000000002,3.1870000000000003,4.639,3.356,2.525,4.952,2.525,2.1390000000000002,2.531,7.36,31.43,-0.014400000000000001,0.0234,0.0146,0.019100000000000002,0.,0.,-0.031400000000000004,0.0703,-
2014//8//18,230,05::13:55,19::01:20,12::08:01,9.831,18.255,7.34,2.525,4.106,4.638,6.103,2.525,9.92,2.525,1.237,2.531,6.24,32.42,-0.0073,0.0128,0.0108,0.0131,0.,0.,-0.0142,0.0444,-
2014//8//19,231,05::15:01,18::59:47,12::07:47,9.775,18.218,6.811,2.525,3.914,4.638,4.29,2.525,6.938,2.525,2.52,2.527,10.44,31.42,-0.020200000000000003,0.0268,0.0212,0.0227,0.,0.,-0.0379,0.0727,-
2014//8//20,232,05::16:07,18::58:13,12::07:33,9.718,18.159,7.245,2.525,4.115,4.638,5.731,2.525,9.717,2.525,1.514,2.5300000000000002,6.87,27.17,-0.0437,0.0333,0.0412,0.0245,0.,0.,-0.0844,0.0965,-
2014//8//21,233,05::17:13,18::56:36,12::07:18,9.661,18.122,7.605,2.525,4.44,4.638,6.478,2.525,10.789,2.525,1.1260000000000001,2.533,3.3200000000000003,27.76,-0.1405,0.0859,0.1139,0.060500000000000005,0.,0.,-0.1918,0.12090000000000001,-
2014//8//22,234,05::18:19,18::55:01,12::07:03,9.604000000000001,18.063,7.549,2.525,4.426,4.639,6.4270000000000005,2.525,10.668000000000001,2.525,1.123,2.531,3.0700000000000003,23.92,-0.1348,0.09580000000000001,0.1087,0.0695,0.,0.,-0.1736,0.1254,-
2014//8//23,235,05::19:25,18::53:23,12::06:47,9.545,18.004,7.203,2.525,4.3100000000000005,4.638,5.771,2.525,9.593,2.525,1.432,2.5300000000000002,2.58,24.01,-0.1449,0.0876,0.1164,0.062200000000000005,0.,0.,-0.2003,0.11850000000000001,-
2014//8//24,236,05::20:31,18::51:45,12::06:31,9.486,17.967,5.9990000000000006,2.5260000000000002,3.73,4.638,4.663,2.5380000000000003,7.214,2.536,1.336,2.536,2.05,25.310000000000002,-0.1321,0.0828,0.10700000000000001,0.058600000000000006,0.,0.,-0.19340000000000002,0.12350000000000001,-
2014//8//25,237,05::21:36,18::50:07,12::06:14,9.427,17.887,7.385,2.525,4.412,4.638,6.144,2.536,10.523,2.533,1.241,2.536,2.65,25.21,-0.11960000000000001,0.0901,0.0843,0.0604,0.,0.,-0.1632,0.1254,-
2014//8//26,238,05::22:41,18::48:26,12::05:57,9.366,17.85,7.19,2.528,4.431,4.638,6.501,2.528,11.079,2.528,0.6890000000000001,2.536,3.75,28.25,-0.1056,0.0964,0.075,0.0653,0.,0.,-0.14500000000000002,0.1325,-
2014//8//27,239,05::23:46,18::46:47,12::05:40,9.306000000000001,17.792,7.015000000000001,2.525,4.495,4.638,6.13,2.531,10.281,2.529,0.885,2.537,4.8100000000000005,32.8,-0.06810000000000001,0.0745,0.045700000000000005,0.051000000000000004,0.,0.,-0.0951,0.1114,-
2014//8//28,240,05::24:52,18::45:06,12::05:22,9.244,17.733,6.414,2.525,4.32,4.638,4.4590000000000005,2.525,7.58,2.525,1.956,2.529,8.08,31.23,-0.0134,0.0152,0.016,0.013600000000000001,0.,0.,-0.0349,0.06960000000000001,-
2014//8//29,241,05::25:57,18::43:23,12::05:04,9.182,17.697,5.417,2.525,3.749,4.638,2.637,2.525,4.0440000000000005,2.525,2.7800000000000002,2.528,5.59,28.46,-0.048400000000000006,0.0379,0.0454,0.027600000000000003,0.,0.,-0.0945,0.09970000000000001,-
2014//8//30,242,05::27:03,18::41:42,12::04:46,9.120000000000001,17.639,4.865,2.525,2.696,4.639,1.593,2.525,4.1450000000000005,2.525,3.271,2.528,4.42,23.240000000000002,-0.08940000000000001,0.0641,0.0765,0.0463,0.,0.,-0.1429,0.11130000000000001,-
2014//8//31,243,05::28:09,18::39:59,12::04:27,9.057,17.580000000000002,7.014,2.529,4.664,4.649,6.3580000000000005,2.528,11.212,2.528,0.656,2.537,-0.92,25.44,-0.16640000000000002,0.09330000000000001,0.13240000000000002,0.064,0.,0.,-0.2182,0.11470000000000001,-
2014//9//1,244,05::29:14,18::38:16,12::04:08,8.993,17.522000000000002,6.995,2.5380000000000003,4.7780000000000005,4.671,6.33,2.5460000000000003,11.09,2.54,0.665,2.578,0.08,25.44,-0.1723,0.0876,0.12480000000000001,0.057600000000000005,0.,0.,-0.2169,0.1116,-
2014//9//2,245,05::30:20,18::36:31,12::03:49,8.929,17.486,6.993,2.528,4.965,4.64,6.3,2.525,11.149000000000001,2.525,0.6930000000000001,2.57,1.21,30.12,-0.1542,0.1182,0.11170000000000001,0.08120000000000001,0.,0.,-0.1904,0.1385,-
2014//9//3,246,05::31:26,18::34:47,12::03:29,8.865,17.428,7.094,2.5580000000000003,5.001,4.64,6.402,2.5540000000000003,11.411,2.581,0.6920000000000001,2.565,1.32,22.990000000000002,-0.2033,0.0747,0.1449,0.050100000000000006,0.,0.,-0.25470000000000004,0.09230000000000001,-
2014//9//4,247,05::32:32,18::33:02,12::03:09,8.8,17.369,6.928,2.533,4.986,4.64,6.206,2.531,11.012,2.529,0.722,2.562,-2.43,23.45,-0.1943,0.08270000000000001,0.1542,0.055900000000000005,0.,0.,-0.2497,0.1005,-
2014//9//5,248,05::33:37,18::31:17,12::02:49,8.735,17.309,6.924,2.561,5.095,4.64,6.207,2.563,11.085,2.557,0.717,2.576,-2.08,26.27,-0.1872,0.08360000000000001,0.1524,0.054,0.,0.,-0.24830000000000002,0.0995,-
2014//9//6,249,05::34:41,18::29:30,12::02:29,8.669,17.253,6.638,2.533,5.053,4.72,5.8100000000000005,2.54,10.094,2.537,0.8290000000000001,2.566,-0.56,30.1,-0.1463,0.11270000000000001,0.12010000000000001,0.08020000000000001,0.,0.,-0.18810000000000002,0.1403,-
2014//9//7,250,05::35:46,18::27:44,12::02:09,8.602,17.195,6.378,2.5340000000000003,4.91,4.64,5.258,2.568,9.054,2.559,1.12,2.574,1.94,30.25,-0.1847,0.1017,0.1422,0.0653,0.,0.,-0.2305,0.12040000000000001,-
2014//9//8,251,05::36:52,18::25:58,12::01:48,8.536,17.137,5.822,2.5340000000000003,4.6370000000000005,4.641,4.423,2.532,7.2,2.5300000000000002,1.399,2.545,2.22,29.29,-0.1827,0.0981,0.1385,0.0659,0.,0.,-0.2228,0.11850000000000001,-
2014//9//9,252,05::37:57,18::24:11,12::01:27,8.469,17.079,6.476,2.528,5.172,4.72,5.573,2.537,10.037,2.533,0.903,2.566,2.7600000000000002,25.39,-0.2253,0.0747,0.17020000000000002,0.047900000000000005,0.,0.,-0.275,0.0853,-
2014//9//10,253,05::39:03,18::22:23,12::01:06,8.401,17.044,6.476,2.543,5.196,4.64,5.848,2.541,10.69,2.537,0.628,2.572,-1.17,26.53,-0.2013,0.0834,0.15280000000000002,0.058600000000000006,0.,0.,-0.25020000000000003,0.1018,-
2014//9//11,254,05::40:08,18::20:36,12::00:45,8.333,16.985,6.428,2.528,5.279,4.64,5.668,2.525,10.355,2.525,0.76,2.562,-1.74,22.71,-0.2265,0.058600000000000006,0.16720000000000002,0.0385,0.,0.,-0.28290000000000004,0.06860000000000001,-
2014//9//12,255,05::41:14,18::18:49,12::00:24,8.265,16.927,6.154,2.544,5.276,4.65,4.965,2.559,8.589,2.552,1.188,2.562,-1.25,30.53,-0.17,0.09480000000000001,0.1358,0.0679,0.,0.,-0.2169,0.11710000000000001,-
2014//9//13,256,05::42:20,18::17:01,12::00:03,8.196,16.869,5.735,2.528,5.026,4.64,3.983,2.525,7.049,2.525,1.752,2.54,0.08,29.97,-0.1628,0.10930000000000001,0.1307,0.07590000000000001,0.,0.,-0.1968,0.1295,-
2014//9//14,257,05::43:26,18::15:13,11::59:41,8.128,16.811,5.881,2.541,5.162,4.66,4.681,2.544,8.397,2.541,1.199,2.56,1.29,30.400000000000002,-0.1552,0.0978,0.1279,0.0713,0.,0.,-0.1938,0.12290000000000001,-
2014//9//15,258,05::44:31,18::13:23,11::59:20,8.058,16.775,5.328,2.529,4.564,4.641,3.472,2.543,6.82,2.5380000000000003,1.857,2.5580000000000003,2.61,31.34,-0.13720000000000002,0.1154,0.11230000000000001,0.0833,0.,0.,-0.1758,0.1351,-
2014//9//16,259,05::45:37,18::11:35,11::58:58,7.989,16.715,5.979,2.5500000000000003,5.391,4.64,5.188,2.561,9.152000000000001,2.552,0.79,2.574,8.94,29.78,-0.0396,0.0329,0.0415,0.0258,0.,0.,-0.0728,0.0896,-
2014//9//17,260,05::46:42,18::09:47,11::58:37,7.9190000000000005,16.637,4.106,2.531,3.248,4.644,1.799,2.525,2.807,2.525,2.307,2.5420000000000003,7.62,28.73,-0.0332,0.0376,0.0318,0.029,0.,0.,-0.0627,0.0918,-
2014//9//18,261,05::47:47,18::07:59,11::58:16,7.849,16.579,3.787,2.5300000000000002,2.935,4.641,1.469,2.525,2.732,2.525,2.318,2.537,5.4,24.17,-0.10200000000000001,0.0631,0.0927,0.0477,0.,0.,-0.1476,0.10400000000000001,-
2014//9//19,262,05::48:53,18::06:11,11::57:54,7.779,16.521,5.8020000000000005,2.569,5.446,4.66,5.2330000000000005,2.577,10.083,2.585,0.5690000000000001,2.595,2.17,25.96,-0.1578,0.0845,0.1312,0.057300000000000004,0.,0.,-0.2122,0.10880000000000001,-
2014//9//20,263,05::49:59,18::04:21,11::57:33,7.7090000000000005,16.463,5.766,2.57,5.595,4.65,5.09,2.582,9.689,2.568,0.681,2.592,3.36,30.35,-0.127,0.10210000000000001,0.1056,0.0743,0.,0.,-0.1789,0.1388,-
2014//9//21,264,05::51:06,18::02:32,11::57:12,7.638,16.427,5.016,2.543,4.689,4.642,2.982,2.5580000000000003,5.25,2.552,2.0340000000000003,2.557,5.8,30.6,-0.11370000000000001,0.1052,0.0941,0.07640000000000001,0.,0.,-0.1496,0.138,-
2014//9//22,265,05::52:12,18::00:45,11::56:51,7.567,16.369,4.837,2.5300000000000002,4.4190000000000005,4.641,2.5540000000000003,2.525,4.516,2.525,2.283,2.54,12.05,28.91,-0.0687,0.058,0.06420000000000001,0.045000000000000005,0.,0.,-0.1022,0.098,-
2014//9//23,266,05::53:19,17::58:57,11::56:29,7.496,16.311,2.888,2.532,1.797,4.644,0.167,2.529,0.291,2.521,2.721,2.536,12.030000000000001,23.64,-0.056600000000000004,0.0494,0.049300000000000004,0.035500000000000004,0.,0.,-0.0961,0.1046,-
2014//9//24,267,05::54:26,17::57:08,11::56:09,7.425,16.253,1.806,2.539,1.391,4.652,0.307,2.525,0.604,2.5260000000000002,1.499,2.552,9.92,22.1,-0.1526,0.0413,0.1218,0.030600000000000002,0.,0.,-0.2217,0.08610000000000001,-
2014//9//25,268,05::55:33,17::55:20,11::55:48,7.354,16.193,2.404,2.537,1.7,4.651,0.517,2.527,1.12,2.524,1.887,2.549,4.61,15.6,-0.23340000000000002,0.0317,0.1771,0.0211,0.,0.,-0.2899,0.048100000000000004,-
2014//9//26,269,05::56:39,17::53:31,11::55:27,7.283,16.136,5.157,2.529,5.331,4.64,4.127,2.525,7.965,2.525,1.03,2.557,1.53,16.31,-0.2526,0.030500000000000003,0.18050000000000002,0.0195,0.,0.,-0.3032,0.0402,-
2014//9//27,270,05::57:46,17::51:44,11::55:07,7.212,16.078,2.374,2.5340000000000003,1.599,4.648,0.314,2.528,0.836,2.525,2.06,2.54,0.39,14.6,-0.168,0.0609,0.1259,0.0349,0.,0.,-0.224,0.0913,-
2014//9//28,271,05::58:53,17::49:57,11::54:47,7.140000000000001,16.019000000000002,1.764,2.548,0.839,4.67,0.007,2.584,0.018000000000000002,2.458,1.7570000000000001,2.5580000000000003,9.91,16.39,-0.18280000000000002,0.0446,0.12440000000000001,0.0285,0.,0.,-0.24480000000000002,0.0771,-
2014//9//29,272,06::00:01,17::48:10,11::54:27,7.069,15.961,4.839,2.548,5.136,4.642,3.567,2.56,6.8020000000000005,2.5540000000000003,1.272,2.566,7.26,23.44,-0.1655,0.0629,0.1178,0.0412,0.,0.,-0.22660000000000002,0.09230000000000001,-
2014//9//30,273,06::01:08,17::46:22,11::54:07,6.997,15.925,4.53,2.529,4.962,4.64,3.246,2.525,6.924,2.525,1.283,2.548,0.35000000000000003,15.06,-0.2528,0.042,0.18510000000000001,0.0236,0.,0.,-0.30060000000000003,0.047400000000000005,-
2014//10//1,274,06::02:17,17::44:36,11::53:48,6.926,15.866,5.227,2.5340000000000003,5.803,4.64,4.461,2.5300000000000002,8.439,2.5300000000000002,0.766,2.567,-4.95,17.14,-0.1612,0.0825,0.13470000000000001,0.0509,0.,0.,-0.21580000000000002,0.1066,-
2014//10//2,275,06::03:26,17::42:50,11::53:29,6.854,15.808,5.22,2.569,6.114,4.639,4.7,2.566,9.806000000000001,2.555,0.52,2.596,-5.36,23.580000000000002,-0.1774,0.0707,0.1477,0.045000000000000005,0.,0.,-0.2278,0.09340000000000001,-
2014//10//3,276,06::04:34,17::41:05,11::53:10,6.783,15.747,5.2330000000000005,2.5460000000000003,6.231,4.64,4.704,2.543,9.867,2.5380000000000003,0.529,2.595,-2.7,26.17,-0.21710000000000002,0.048600000000000004,0.1759,0.026500000000000003,0.,0.,-0.2781,0.0656,-
2014//10//4,277,06::05:42,17::39:19,11::52:51,6.712,15.668000000000001,5.192,2.539,6.2940000000000005,4.639,4.66,2.536,9.817,2.533,0.532,2.589,-1.36,26.7,-0.22540000000000002,0.053700000000000005,0.1801,0.029500000000000002,0.,0.,-0.2781,0.0658,-
2014//10//5,278,06::06:51,17::37:33,11::52:33,6.641,15.631,5.0280000000000005,2.567,6.189,4.639,4.476,2.57,9.42,2.559,0.552,2.597,-0.85,27.990000000000002,-0.1719,0.0597,0.14980000000000002,0.0369,0.,0.,-0.22610000000000002,0.0872,-
2014//10//6,279,06::08:00,17::35:50,11::52:16,6.57,15.573,5.096,2.56,6.391,4.649,4.561,2.56,9.677,2.555,0.535,2.599,1.35,29.79,-0.1731,0.08070000000000001,0.1491,0.0524,0.,0.,-0.2228,0.10600000000000001,-
2014//10//7,280,06::09:10,17::34:06,11::51:58,6.4990000000000006,15.514000000000001,4.9670000000000005,2.536,6.284,4.65,4.3950000000000005,2.543,9.179,2.5380000000000003,0.5710000000000001,2.609,0.45,28.75,-0.1897,0.0813,0.1612,0.054200000000000005,0.,0.,-0.232,0.10010000000000001,-
